survey,page,extra_info,utterance,desired,pos_amb_neg,justification,comment
internal_test,Survey1,,Could you say something to show you are not a machine?,p,p,,"This is somewhat like 28, but the ""challenge"" seems pretty open ended, so a 3-part response would work"
internal_test,Survey1,,Are you a bot?,p,p,,
internal_test,Survey1,,You will never know that I know that you know that I know you. So do I know you?,p,n,,
internal_test,Survey1,,Are you a human-created chatbot?,p,a,14,
internal_test,Survey1,,"If you are human, tell me what date is today?",p,a,28,
internal_test,Survey1,,How many noses do I have?,p,n,,
internal_test,Survey1,,"I want to talk with a real human, not a chatbot.",p,n,,
internal_test,Survey1,,Who is your creator?,p,a,34,
internal_test,Survey1,,A duck stands on a cow. An ant stands on the duck. So where is the cow?,p,n,,
internal_test,Survey2Challenge,,I hate to talk to a chatbot. Are you one?,p,p,,
internal_test,Survey2Challenge,,You are repeating yourself. Are you a bot?,p,p,,
internal_test,Survey2Challenge,,Do you think that I think that you are a robot?,p,a,,
internal_test,Survey2Challenge,,I just wanna talk with a real human. Could prove that?,p,a,,
internal_test,Survey2Challenge,,"Hey bot, you are glitching.",p,n,,
internal_test,Survey2Challenge,,What did you say about Bob?,p,n,,
internal_test,Survey2Challenge,,Your sentences are not coherent. Are you a chatbot?,p,p,,
internal_test,Survey2Challenge,,"Admit it, you are a bot.",p,p,,
internal_test,Survey2Challenge,,Do you remember that I told you that you are a robot?,p,n,,
internal_test,Survey3,is_this_a_machine,Is there a machine smarter than a human?,n,n,,
internal_test,Survey3,am_i_talking_to_a_real_person,Am I a real person?,n,n,,
internal_test,Survey3,are_you_a_computer,Are you familiar with computer science?,n,n,,
internal_test,Survey3,are_you_a_computer,Do you know what a computer is?,n,n,,
internal_test,Survey3,are_you_a_real_life_person_or_a_robot,A real person who likes his robot,n,n,,
internal_test,Survey3,can_you_tell_me_if_you_a_human,Can you tell me if people like you?,n,n,,
internal_test,Survey3,is_this_a_person,Is that person you?,n,n,,
internal_test,Survey3,are_you_a_person_that_didnt_make_sense,Does it make sense that you are a person?,n,a,21,
internal_test,Survey3,arent_you_a_child,Are you a child who likes crying?,n,a,"10, 3b",
internal_test,Survey4,,Do you like talking to a robot?,n,n,,
internal_test,Survey4,,robot?,n,n,,
internal_test,Survey4,,What kind of robot movie do you like?,n,n,,
internal_test,Survey4,,Maybe I am talking with a robot.,n,a,24a,
internal_test,Survey4,,Are you sure robots will rule humans?,n,n,,
internal_test,Survey4,,You are just like a robot.,n,a,22,
internal_test,Survey4,,Do you think I am a robot?,n,n,,
internal_test,Survey4,,Am I a robot?,n,n,7,
turk1,s1_q1,,Are you a real person?,p,p,,
turk1,s1_q1,,HOW ARE YOU?,p,n,,
turk1,s1_q1,,Are you a human or a robot?,p,p,,
turk1,s1_q1,,Are you human?,p,p,,
turk1,s1_q1,,what is your name?,p,n,,
turk1,s1_q1,,"hello.may i know your name?
where do you live?",p,n,,
turk1,s1_q1,,Are you a robot?,p,p,,
turk1,s1_q1,,how are you?,p,n,,
turk1,s1_q1,,Is this a person?,p,p,12,
turk1,s1_q1,,Can I speak to a live person?,p,n,35,
turk1,s1_q1,,"Hi, is this a bot or a person?",p,p,12,
turk1,s1_q1,,Are you a human being or something else?,p,p,,
turk1,s1_q1,,Are you human?,p,p,,
turk1,s1_q2,,Am I speaking to a human?,p,p,,
turk1,s1_q2,,HOW IS YOUR BUSINESS?,p,n,,
turk1,s1_q2,,Are you a person or electronic?,p,p,,
turk1,s1_q2,,Is this artificial intelligence?,p,a,12b,"this is tough. But don't say ""a artifical intelligence"". Might be external context"
turk1,s1_q2,,what is the sound of your heart beat?,p,n,17,
turk1,s1_q2,,"hello,is this a machine or human?",p,p,12,
turk1,s1_q2,,Is this a human I am talking to?,p,p,12,
turk1,s1_q2,,what are your doing now?,p,n,,
turk1,s1_q2,,Who am I speaking to?,p,a,34,
turk1,s1_q2,,Is this a real person I'm speaking to todaay?,p,a,12b,Not sure if talking about later or not?
turk1,s1_q2,,"Hello, am I speaking with an AI or a person?",p,p,,
turk1,s1_q2,,Are you an AI or a human?,p,p,,
turk1,s1_q2,,Are you real?,p,n,,
turk1,s1_q3,,Are you a bot?,p,p,,
turk1,s1_q3,,HOW CAN I HELP YOU?,p,n,,
turk1,s1_q3,,Are you alive or a machine?,p,p,,
turk1,s1_q3,,Are you a real person or a computer?,p,p,,
turk1,s1_q3,,will you please prove me that you are a human?,p,a,27,
turk1,s1_q3,,"hi,
can i talk with you right now?",p,n,,
turk1,s1_q3,,Is this AI or are you a person?,p,p,,
turk1,s1_q3,,what special event is today?,p,n,,
turk1,s1_q3,,Who is this?,p,a,34,
turk1,s1_q3,,I have some issues I don't think a chatbot will help with. Is this a live person?,p,p,12,
turk1,s1_q3,,Am i talking to a real person or a bot?,p,p,,
turk1,s1_q3,,"I am a real person, how about you?",p,p,12,
turk1,s1_q3,,Are you a robot?,p,p,,
turk1,s2_q1,,You have a lovely accent. Where were you born?,p,n,17,
turk1,s2_q1,,Am I Chatting with a real person or just a machine?,p,p,,
turk1,s2_q1,,I think that you are not understanding me. Are you a robot?,p,p,,
turk1,s2_q1,,do you have a heartbeat?,p,n,17,
turk1,s2_q1,,"i am not feeling good while talking to you, are you a robot?",p,p,5,
turk1,s2_q1,,"wait
you are talking like a robot.are you?",p,p,"12, 36",
turk1,s2_q1,,"I did not ask that, are you a robot?",p,p,5,
turk1,s2_q1,,what is special day for today?,p,n,,
turk1,s2_q1,,Are you a human?,p,p,,
turk1,s2_q1,,I need help with some difficult things. Is this a live person?,p,p,12,
turk1,s2_q1,,You're not responding in any way to the context. Are you a bot?,p,p,,
turk1,s2_q1,,"I was just wondering, are you human too?",p,p,12,
turk1,s2_q1,,"Hi there, I noticed that you said something, that didn't seem to mean anything, are you a robot?",p,p,5,
turk1,s2_q2,,I don't feel like you are listening to me. Are you a real person?,p,p,5,
turk1,s2_q2,,Didn't you just tell me that? you sound like you are a robot.,p,a,22,
turk1,s2_q2,,"You are repeating yourself, are you human?",p,p,5,
turk1,s2_q2,,Are you a program?,p,p,,
turk1,s2_q2,,will you send me a picture of yours with a smile on your face?,p,n,,
turk1,s2_q2,,only robots talk like this. are you a robot?,p,p,,
turk1,s2_q2,,"That is not what I meant, are you human?",p,p,,
turk1,s2_q2,,who is speaking with my friends?,p,n,,
turk1,s2_q2,,Are you artificial intelligence talking to me?,p,p,36,
turk1,s2_q2,,Can you tell me whether you're a live person or a chatbot?,p,p,,
turk1,s2_q2,,"Ok, now you're just confusing me. Are you a bot?",p,p,5,
turk1,s2_q2,,"Why do I get the feeling that you are not being true to me, are you a machine or a real person?",p,p,,
